,mse_losses,mae_losses
mse_naive,5715254611.21745,5715254611.21745
mse_naive_seasonal,8012645158.411185,8012645158.411185
mse_sarima,3949630199.811241,3949630199.811241
mse_LR,4783393021.94319,4783393021.94319
